time (19.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:42:51;-18.10;-30.00;-30.05;17.80;-17.40;-18.30;-13.16;17.80;4.00
14:42:53;-18.10;-30.00;-30.04;17.80;-17.40;-18.30;-13.21;17.80;4.00
14:42:55;-18.10;-30.00;-30.03;17.80;-17.40;-18.30;-13.20;17.80;4.00
14:42:57;-18.10;-30.00;-30.04;17.80;-17.40;-18.30;-13.18;17.80;4.00
14:42:59;-18.10;-30.00;-30.04;17.80;-17.40;-18.30;-13.17;17.80;4.00
14:43:01;-18.10;-30.00;-30.04;17.80;-17.40;-18.20;-13.26;17.80;4.00
14:43:03;-18.10;-30.00;-30.06;17.80;-17.40;-18.20;-13.18;17.70;4.00
14:43:05;-18.10;-30.00;-30.07;17.80;-17.40;-18.20;-13.26;17.70;4.00
14:43:07;-18.10;-30.00;-30.07;17.80;-17.40;-18.20;-13.14;17.70;4.00
14:43:09;-18.10;-30.00;-30.06;17.80;-17.40;-18.20;-13.15;17.60;3.90
14:43:11;-18.10;-30.00;-30.08;17.80;-17.30;-18.20;-13.17;17.60;3.90
14:43:13;-18.10;-30.00;-30.08;17.80;-17.30;-18.20;-13.19;17.60;3.90
14:43:15;-18.10;-30.00;-30.07;17.80;-17.30;-18.10;-13.09;17.60;4.00
14:43:17;-18.10;-30.00;-30.07;17.80;-17.30;-18.10;-13.03;17.60;4.00
14:43:19;-18.10;-30.00;-30.08;17.80;-17.30;-18.10;-13.00;17.50;4.00
14:43:21;-18.10;-30.00;-30.08;17.80;-17.30;-18.10;-13.02;17.50;3.90
14:43:23;-18.10;-30.00;-30.09;17.80;-17.30;-18.10;-12.98;17.50;4.00
14:43:25;-18.10;-30.00;-30.08;17.80;-17.30;-18.10;-12.93;17.50;3.90
14:43:27;-18.10;-30.00;-30.08;17.80;-17.30;-18.10;-12.95;17.50;4.00
14:43:29;-18.10;-30.00;-30.08;17.80;-17.30;-18.10;-12.95;17.50;4.00
14:43:31;-18.10;-30.00;-30.08;17.80;-17.30;-18.10;-12.90;17.40;4.00
14:43:33;-18.10;-30.00;-30.06;17.80;-17.30;-18.10;-12.98;17.40;3.90
14:43:35;-18.10;-30.00;-30.05;17.80;-17.30;-18.10;-12.93;17.40;3.90
14:43:37;-18.10;-30.00;-30.06;17.80;-17.30;-18.10;-12.83;17.40;3.90
14:43:39;-18.10;-30.00;-30.06;17.80;-17.20;-18.00;-12.86;17.30;3.90
14:43:41;-18.10;-30.00;-30.06;17.80;-17.20;-18.00;-12.89;17.30;3.90
14:43:43;-18.10;-30.00;-30.06;17.80;-17.20;-18.00;-12.90;17.30;4.00
14:43:45;-18.10;-30.00;-30.06;17.80;-17.20;-18.00;-12.86;17.30;3.90
14:43:47;-18.10;-30.00;-30.06;17.80;-17.20;-18.00;-12.76;17.20;3.90
14:43:49;-18.10;-30.00;-30.06;17.80;-17.20;-18.00;-12.74;17.20;3.90
14:43:51;-18.10;-30.00;-30.05;17.80;-17.20;-18.00;-12.84;17.20;3.90
14:43:53;-18.10;-30.00;-30.05;17.80;-17.20;-18.00;-12.89;17.20;3.90
14:43:55;-18.10;-30.00;-30.04;17.80;-17.10;-18.00;-12.84;17.10;3.90
14:43:57;-18.10;-30.00;-30.05;17.80;-17.20;-18.00;-12.85;17.10;3.90
14:43:59;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.87;17.10;3.90
14:44:01;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.88;17.00;3.90
14:44:03;-18.10;-30.00;-30.06;17.80;-17.10;-18.10;-12.87;17.00;3.90
14:44:05;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.79;17.00;3.90
14:44:07;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.77;17.00;3.90
14:44:09;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.77;17.00;4.00
14:44:11;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.82;17.00;3.90
14:44:13;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.84;16.90;3.90
14:44:15;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.82;16.90;3.90
14:44:17;-18.10;-30.00;-30.08;17.80;-17.10;-18.00;-12.84;16.90;3.90
14:44:19;-18.10;-30.00;-30.08;17.80;-17.10;-18.00;-12.85;16.90;3.90
14:44:21;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.79;16.80;3.90
14:44:23;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.83;16.80;3.90
14:44:25;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.80;16.70;3.90
14:44:27;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.81;16.70;3.90
14:44:29;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.86;16.70;3.90
14:44:31;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.79;16.60;3.90
14:44:33;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.79;16.60;3.90
14:44:35;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.78;16.60;3.90
14:44:37;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.69;16.60;3.90
14:44:39;-18.10;-30.00;-30.05;17.80;-17.10;-18.00;-12.64;16.60;3.90
14:44:41;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.58;16.60;3.90
14:44:43;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.69;16.50;3.90
14:44:45;-18.10;-30.00;-30.08;17.80;-17.10;-18.10;-12.59;16.50;3.90
14:44:47;-18.10;-30.00;-30.08;17.80;-17.10;-18.00;-12.62;16.50;3.90
14:44:49;-18.10;-30.00;-30.08;17.80;-17.10;-18.10;-12.71;16.50;3.90
14:44:51;-18.10;-30.00;-30.08;17.80;-17.10;-18.00;-12.63;16.50;3.90
14:44:53;-18.10;-30.00;-30.09;17.80;-17.10;-18.00;-12.59;16.50;3.80
14:44:55;-18.10;-30.00;-30.08;17.80;-17.10;-18.00;-12.66;16.50;3.90
14:44:57;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.59;16.40;3.90
14:44:59;-18.10;-30.00;-30.08;17.70;-17.10;-18.00;-12.68;16.40;3.90
14:45:01;-18.10;-30.00;-30.08;17.80;-17.10;-18.00;-12.57;16.40;3.90
14:45:03;-18.10;-30.00;-30.07;17.80;-17.10;-18.10;-12.65;16.40;3.90
14:45:05;-18.10;-30.00;-30.07;17.80;-17.10;-18.00;-12.60;16.40;3.90
14:45:07;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.65;16.40;3.80
14:45:09;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.61;16.40;3.80
14:45:11;-18.10;-30.00;-30.07;17.70;-17.10;-18.10;-12.65;16.40;3.90
14:45:13;-18.10;-30.00;-30.08;17.80;-17.10;-18.00;-12.69;16.30;3.90
14:45:15;-18.10;-30.00;-30.08;17.70;-17.10;-18.10;-12.68;16.30;3.90
14:45:17;-18.10;-30.00;-30.07;17.80;-17.10;-18.10;-12.64;16.20;3.90
14:45:19;-18.10;-30.00;-30.07;17.80;-17.10;-18.10;-12.70;16.20;3.90
14:45:21;-18.10;-30.00;-30.09;17.80;-17.10;-18.10;-12.67;16.20;3.80
14:45:23;-18.10;-30.00;-30.08;17.80;-17.10;-18.10;-12.67;16.20;3.90
14:45:25;-18.10;-30.00;-30.08;17.70;-17.10;-18.10;-12.48;16.20;3.90
14:45:27;-18.10;-30.00;-30.08;17.80;-17.10;-18.10;-12.47;16.20;3.90
14:45:29;-18.10;-30.00;-30.08;17.70;-17.10;-18.10;-12.49;16.10;3.90
14:45:31;-18.10;-30.00;-30.08;17.80;-17.10;-18.10;-12.50;16.10;3.80
14:45:33;-18.10;-30.00;-30.08;17.80;-17.00;-18.10;-12.45;16.10;3.80
14:45:35;-18.10;-30.00;-30.08;17.80;-17.10;-18.10;-12.56;16.10;3.80
14:45:37;-18.10;-30.00;-30.06;17.80;-17.10;-18.00;-12.61;16.10;3.80
14:45:39;-18.10;-30.00;-30.05;17.70;-17.10;-18.10;-12.65;16.00;3.80
14:45:41;-18.10;-30.00;-30.06;17.80;-17.10;-18.10;-12.59;16.00;3.90
14:45:44;-18.10;-30.00;-30.07;17.80;-17.00;-18.10;-12.60;16.00;3.80
14:45:45;-18.10;-30.00;-30.06;17.70;-17.10;-18.10;-12.66;15.90;3.80
14:45:47;-18.10;-30.00;-30.07;17.80;-17.10;-18.10;-12.66;15.90;3.80
14:45:49;-18.10;-30.00;-30.08;17.70;-17.10;-18.10;-12.69;15.90;3.80
14:45:51;-18.10;-30.00;-30.08;17.80;-17.00;-18.10;-12.59;15.80;3.90
14:45:53;-18.10;-30.00;-30.07;17.70;-17.00;-18.10;-12.74;15.80;3.80
14:45:55;-18.10;-30.00;-30.07;17.70;-17.00;-18.10;-12.67;15.80;3.90
14:45:57;-18.10;-30.00;-30.06;17.70;-17.00;-18.10;-12.61;15.80;3.90
14:45:59;-18.10;-30.00;-30.07;17.70;-17.00;-18.10;-12.74;15.80;3.70
14:46:01;-18.10;-30.00;-30.07;17.70;-17.00;-18.10;-12.78;15.80;3.80
14:46:04;-18.10;-30.00;-30.06;17.70;-17.10;-18.10;-12.66;15.70;3.80
14:46:05;-18.10;-30.00;-30.05;17.70;-17.00;-18.10;-12.75;15.70;3.90
